Razão Social,Endereço,Município,UF,Licenciada (sim ou não),Latitude/Longitude,Canal/Frequência,Indicador
ASSOCIAÇÃO CENTRO DE COMUNICAÇÃO ALTERNATIVA DE ACRELÂNDIA,AVENIDA GERALDO BARBOSA,Acrelândia,AC,,10S043600/67W031300,200 / 87.90,ZYC217
ASSOCIACAO PRO-SAUDE DE FEIJO AC,"RUA CORRONEL BARROSO, S/NÌ",Feijó,AC,( S ),08S095400/70W211100,200 / 87.90,ZYC204
CENTRO DE DEFESA DOS DIREITOS HUMANOS E EDUCAÇÃO POPULAR DO ACRE - CDDHEP - AC,TRAVESSA  CABANELAS,Rio Branco,AC,( S ),09S584300/67W481000,200 / 87.90,ZYC216
FUNDACAO ASSISTENCIAL E EDUCACIONAL BETEL,"RUA SIQUEIRA CAMPOS, 212",Sena Madureira,AC,( S ),09S035200/68W392500,285 / 104.90,ZYC203
ASSOCIACAO DE MORADORES DO BAIRRO BENTO MARQUES - COHAB,RUA MANOEL VIEIRA DA CUNHA,Tarauacá,AC,( S ),08S090500/70W460000,200 / 87.90,ZYC205
ASSOCIAÇÃO COMUNITÁRIA E SOCIAL DE ÁGUA BRANCA,PRAÇA DA MATRIZ,Água Branca,AL,( S ),09S154400/37W561100,285 / 104.90,ZYS262
ASSOCIAÇÃO COMUNIT. DOS MORADORES DO POV. TABULEIRO GRANDE-ANADIA-ALAGOAS-ASCOMPOTAG,RUA SEBASTIÃO DA CRUZ,Anadia,AL,( S ),09S412200/36W182200,285 / 104.90,ZYS263
ASSOCIACAO A VOZ DO POVO A VOZ DE DEUS,"RUA GUANABARA, 593",Arapiraca,AL,( S ),09S442900/36W394600,290 / 105.90,ZYC244
ASSOCIAÇÃO COMUNITÁRIA DO DESENVOLVIMENTO CULTURAL DO MUNICÍPIO DE ARAPIRACA - ACODECMA,RUA BOA VISTA,Arapiraca,AL,,09S472300/36W370300,290 / 105.90,ZYS278
ASSOCIACAO COMUNITARIA DE COMUNICACAO E CULTURA DE ATALAIA,AV. FREDSON DA COSTA AMORIM S/NÊ- LOTEAMENTO SANTA,Atalaia,AL,( S ),09S304800/36W000400,200 / 87.90,ZYS247
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL DE BARRA DE SANTO ANTÔNIO,RUA ALCIDES ANTÔNIO DE MELO - ANTIGA RUA DO A,Barra de Santo Antônio,AL,( S ),09S241800/35W302500,200 / 87.90,ZYC238
"ASSOCIAÇÃO COMUNITÁRIA DOS MORADORES, MINI E PEQ. PROD. DOS POV. BAIÃO, MALHADINHA, POÇO SALGADO E CAMPO COMPRIDO - ABC",RUA JOSÉ DUDA SILVA,Boca da Mata,AL,( S ),09S384000/36W130800,285 / 104.90,ZYS250
ASSOCIACAO COMUNITARIA CAJUEIRO,,Cajueiro,AL,( N ),09S234800/36W090600,285 / 104.90,ZYS264
